Number of Elements,Standard Merge Sort Time (in ns),Parallel Merge Sort Time (in ns),Partially Parallel Merge Sort Time (in ns),Java Parallel Merge Sort Time (in ns)
485628,44810000,12554600,12384000,2297500
806594,78507600,28970200,22227800,3672400
19527,1500900,3457600,5297300,165700
653788,62614800,16746900,16531100,3001000
658245,62425500,16929700,26192100,3042000
671679,64640000,17547200,16264500,3083800
321223,29066100,8856200,9661800,1563500
874338,85439600,31369100,24062600,3974400
971070,93858100,23207000,31931700,4512700
91084,7442500,4477100,6019600,469300
559154,52157700,14147500,14229500,2497500
547533,52054600,13484800,14001700,2491100
77724,6738300,3553900,5739100,418500
984676,103887700,23978200,21510200,4583900
41451,3549800,3113500,4938600,259500
375549,33501700,9599100,10364300,1813700
700720,77693000,19609500,16382400,3186200
226953,19870600,7270500,7888000,1179500
458431,42447000,12171100,11837700,2186100
783516,85975900,18531700,17468100,3575300
528644,49010700,13513000,13150400,2371900
727421,80961400,17792900,17013300,3417800
284431,25762100,7987200,9205500,1426400
804145,78156100,19988800,36543700,3710200
645598,62052100,16491100,15755700,3015300
870427,84630400,32057900,20818400,3856200
933478,88129000,22577400,21901800,4516700
465345,43345900,23589600,13279300,2198100
708961,68649700,18622000,18125300,3136300
748496,71522600,27768500,18287400,3263300
193257,17240100,6691500,7200500,942200
7586,531600,2391800,4470400,127900
157779,13983500,4862400,6707100,755400
342072,31613300,8834400,9720800,1644000
316844,28291800,9316100,10036900,1611700
819485,79255100,20006300,18433700,3632200
969466,92531200,33991800,21256500,4440400
185625,16326600,5803700,7066100,915100
60961,5416300,3005400,5255700,350000
527039,48760900,13205300,12928800,2534600
897759,85441700,32634300,20898100,4220200
139830,12101400,5341400,6452000,659300
994731,96043700,34945400,20616300,4523000
882749,85209200,21232500,20119800,3919500
964788,103960300,23350400,21223900,4593500
562065,52696100,13908800,13630300,2695800
91665,7723900,3823000,5561000,493800
362817,42985800,9791900,12977600,1732800
317905,28622000,9493100,9432100,1513300
767489,74405300,19281800,17485800,3524800
897613,85126800,23073600,20090900,4023300
186965,16729000,6566900,7630200,904000
439834,39420000,11528300,21857000,2011600
968619,92272000,22869300,21317100,4302600
935876,88424300,32737600,20753400,4137900
540843,50864700,13792600,13813700,2396900
467517,43806400,21958800,12374600,2176200
868576,85060400,21266300,19780700,3934700
173201,15589500,6932100,9165700,919000
189638,16657100,5663000,18093400,1098500
596888,70490000,19492000,14903200,2699500
143251,12735500,4698100,6292300,732300
237882,20894500,6960000,8179800,1206100
701193,67931100,17243500,26837100,3186200
81079,7019500,4140500,5531700,418100
276981,25410600,7500800,8882900,1376600
937860,89507000,22513000,20384100,4310700
430170,38877200,11712100,22737500,2100600
55035,4708600,9674600,5188800,364100
817391,79521300,20233400,19110700,3696500
19043,1445400,3075800,4808200,190200
106611,8742300,3878800,6077600,542900
679318,65599300,16596500,26024200,3092300
422331,37795900,11174200,11995300,2019300
457929,41740500,11331900,12124600,2217800
469317,43626300,12191300,12923400,2248700
887410,94794200,21426200,19880700,3892600
200416,18227800,5974000,7557400,1012200
542879,51267500,13966000,13337400,2481300
985160,94819400,35862000,22636700,4403900
568305,53459900,14764200,14311400,2611800
918024,86066100,32933300,20540400,4246400
270225,24806800,7777900,8404900,1422300
476068,43696300,12126700,12241800,2197900
682319,65865400,16769900,28136600,3258300
857919,84111900,21421100,18982800,3962500
725892,69462300,19346600,27487400,3499900
866869,85402500,21433400,19524600,3868900
800356,76484000,20352100,18542000,3647200
395274,35762400,10486400,10637400,1841500
653027,62108100,16149400,16104400,3076600
554815,52448800,14381100,13669900,2486100
334727,41552900,8765500,10374800,1504600
641122,61471800,16094100,15715600,2963500
524887,49209900,13647100,14198000,2391600
738542,71044400,28838800,17312700,3439000
151756,13699100,6222200,13415000,791900
452108,41413000,11776500,11930700,2147100
914261,86289800,33389800,20782700,4101400
477255,44275300,12520500,12340400,2192000
916717,86737500,22087100,20251500,4203200
634006,71426400,16163000,15684800,2947900
778705,75779200,18370600,18803600,3634900
919601,86865200,32178200,21978000,4184800
754438,72974000,18339000,18069900,3335000
387055,34489600,9948700,10742500,1879800
11024,831700,12918200,4792100,181800
967770,92707300,23344300,21617800,4142300
760954,73294700,18102700,27860600,3243100
509732,48099400,12787500,13725400,2375300
442907,40223800,12049300,11944200,2111300
727047,70449900,18324100,28009100,3234400
976500,93855300,25867500,21639300,4380100
837491,80899200,20765500,30427500,3835400
327375,29093700,9102400,9723600,1602300
249660,22220300,7402400,8543400,1229200
270792,24755600,8267800,9333800,1300900
896462,84830600,21973100,30709900,4121200
969873,93270000,24338100,21353300,4190800
4868,336800,2913500,4804100,84100
877367,85734200,37755400,21317100,3853200
554029,51971900,14814500,18144000,2596200
538912,50671000,14179100,13588800,2408600
612766,57766900,26019200,15745100,2778200
225105,19875200,6979800,8037500,1127200
22928,1731100,2808200,4986600,187600
970819,92627000,24939700,21937400,4246300
260,15200,2453800,4831300,7200
95221,8022200,3828700,5811000,486900
48528,3991800,3182300,5570000,269500
957793,91273800,22789500,22318000,4248700
714969,70182000,17453600,16605200,3607800
626612,70080300,15281200,15644800,2756500
793057,75220500,18939000,18768900,3760700
269359,24051400,7537100,8873700,1319900
880942,95671100,21346600,20208300,4078500
878292,84859400,22294700,20681600,3917900
249575,33725500,7541500,8723600,1276300
620227,58825600,15722300,14943700,2981000
970929,92564500,23892400,31868900,4527100
258288,23793800,7499700,8791500,1344400
106609,9033800,3976200,5919400,511200
985736,94147600,22854300,22301500,4466500
974386,104165300,23306700,21258300,4330200
717693,69661500,17734800,17401400,3474900
632470,60559200,26639600,19503500,3011600
865099,84115400,22147100,19427900,3911200
817939,79027800,30236100,18704000,3757900
640167,61375600,16326300,15892800,3063800
425514,38111200,10850900,12238400,1921300
874097,86509900,32165200,19642700,4105600
157836,13855200,5983400,6919200,797900
369369,32768000,10178700,10615500,1778300
70045,6006000,3560400,5769600,363800
859851,83678400,32248300,19018400,3928100
865369,83558200,21594900,20001000,3924500
964892,92338500,33876300,26223300,4342200
159473,14185700,5530600,6802800,758400
78658,6702100,3541500,5669400,415800
190272,16789500,5932600,7646600,991300
601751,57416400,15246900,15152200,2741300
425239,38170800,22252500,11519200,2019300
31021,2391200,3067200,5119600,261000
645186,61246300,15726200,15642700,2874900
44916,3717000,3446100,5347900,281000
806948,77886700,19723200,29326500,3673200
137858,12128300,4778100,6802400,674200
472350,43008200,11710000,12731000,2232400
935396,88591100,22076700,21032600,4116300
807029,89417200,19303700,19738700,3702400
281960,25603700,8119700,9342900,1413200
55164,5037200,3254200,5511900,307900
404600,37128500,10191000,11550800,1903400
737628,70311300,28154900,17958200,3316200
651946,61566500,16225600,16480300,2998500
553341,51548500,14842400,14833300,2576200
763952,74108900,18844700,17735900,3478600
725509,69539900,18256800,17713000,3739000
31368,2496400,3967100,5341200,260500
29724,2283600,3104300,5216300,235300
228049,19684700,7111700,19188700,1141900
58666,4988800,3531500,5351200,325500
590312,55172900,15071300,15018800,2698800
596097,56254500,15546100,15707900,2907100
298543,26909000,9144700,9375900,1580400
854830,95461000,22257200,19917800,3980700
169898,14853400,6475200,6932200,819400
439586,39884500,12300800,11827300,2106000
646027,61223900,27566900,17342600,3030600
267610,24411100,7607900,9017700,1278900
77400,6652100,3551000,5704900,413900
595286,56117100,14987800,14400700,2759600
147669,13078000,5401700,6801900,727600
744499,72106500,29249200,17915800,3602300
178876,15942200,5719000,7320300,881400
717240,69425300,22324000,24022500,3347300
571730,54855800,26390100,14439900,2619400
163700,14430000,5305400,7082300,826600
405516,36747700,10805900,11953300,1927300
586100,55258800,15123500,14934500,2679100
422488,38120000,10917800,23246400,2004600
701229,68015800,20887500,17353200,3266700
459841,42488400,12411500,12822300,2157400
1905,124500,2624400,4977300,56600
707127,68994600,28457300,18113700,3178100
296312,26703000,8190000,9749200,1442600
913734,85950900,23836500,23509900,4176000
175195,15687900,5390700,18615400,877700
881202,84267700,21433900,19704700,3861400
267603,24531700,8385800,9228000,1251600
379275,33900600,9959100,10984300,1767300
218316,19905100,18168200,8202400,1145800
962155,92311400,22641900,21151900,4318800
799327,76251600,19323600,29551400,3580400
41464,3482700,4009800,5422400,287400
631382,60544900,15548900,15110500,2951200
140316,12402500,9163300,7110000,681100
628724,59642800,17499800,16314700,2886300
260991,23864300,19436200,9334700,1314600
918191,87570900,22895200,22326800,4158300
31361,2434300,3389200,5970200,240600
185503,16561700,6172200,7810200,956100
333642,29947800,9221300,9985100,1652500
163386,14275200,17003600,7061400,741000
923732,87417400,23094500,20772900,4094700
446841,40570400,12232800,11904800,2221000
304340,27484800,20374500,9801900,1555000
295214,26130000,8384800,9295600,1467800
223792,20029800,6774000,8063900,1095400
758693,73015900,18263200,18232300,3681500
898004,85501400,33725200,21076700,4028100
224933,20049700,7349600,8192600,1135100
539479,50948100,13978500,13983600,2488400
774117,75058700,31384600,18573800,3383700
221395,20095600,6501200,8649300,1140300
833091,82023600,21394800,20063600,3884400
430799,40677400,24008200,12668100,2015000
148442,13108800,5615800,7419600,675000
853919,83346300,21827600,20230800,3851000
522177,49057500,13657400,25595200,2570300
957159,91673100,23882200,22864500,4481000
885718,84966200,33523100,20807300,4071400
989976,94548800,24491700,23067600,4576700
236693,20693700,7426400,8855700,1231100
230999,19970100,6694100,19807700,1194000
513055,48155300,13554100,13645900,2376100
809447,78979500,19910900,20256400,3833700
539968,51218900,26035700,14845700,2530400
658949,64130700,16992200,17480600,3187800
604803,57628300,17167100,15482100,2667500
995471,108072300,24018900,22523700,4641500
273587,25096500,9123100,9182100,1278400
781924,75251900,18649600,30347100,3563100
957971,91956400,22412100,20844100,4311200
391451,34869900,10220300,11722700,1809900
552351,51652300,27851400,14702700,2538000
579831,55545600,14250600,14818500,2606300
899325,85987400,22849500,31986000,4056300
688567,66984300,21702500,16995200,3298700
938328,88887300,22493100,26588000,4441400
679860,76764700,16096400,16887300,3173400
846474,83078800,20232400,19894900,3680900
59099,4862400,3955400,5794500,341200
54629,4833600,3514400,6314000,311300
401347,47994900,10315900,12312600,2051800
159280,14089100,5363300,7072000,748500
169122,15049700,5411600,7185500,754500
787942,75309300,19394200,19381600,3626700
957861,103701800,23539400,20822400,4307100
638357,61125600,15925900,15740500,2897400
382265,34218900,10634600,10865400,1869900
272034,25065800,8561800,8794000,1336800
532850,49916200,13159900,14284300,2507900
892705,85410400,21494900,20802300,4047300
21682,1643800,3157000,17773900,222100
742124,72457300,18955300,17451200,3394200
406714,36494700,11350800,11470100,1887000
405310,37445300,11237100,11191300,1909500
892088,96162500,22120900,20856700,4046800
503730,47049400,13822800,14390300,2343100
545677,50969500,15234600,27686000,2490000
296111,27195600,9276600,10205800,1408600
516445,49639700,14022000,13437700,2352800
195618,17304700,6691600,16336300,996200
671767,64458200,17525800,29732500,2938400
539146,51001000,14100200,14367000,2410800
22608,1709100,3033800,5531400,217900
627897,60112700,16380500,15594000,2844800
978787,94807600,35206900,22075600,4504300
377107,33970000,11172400,11500500,1858100
873386,84882200,21981000,32028900,3999300
801642,76918000,19576900,18187100,3651800
552896,52346100,14508700,14177800,2562000
672695,63911300,30523000,16708000,2999300
504615,47223800,13504700,13412700,2308200
198247,17770600,6400600,8172200,915000
760001,72602200,29928700,18359800,3507800
563938,52841100,14425500,14829800,2578900
685745,66690600,17182500,17048100,3128600
826254,91888800,20075800,19711400,3924700
646237,61639000,16264200,16094500,2890000
583485,55330600,15049200,27613800,2631500
267672,24583200,9257800,16396500,1395000
378035,33600300,11052900,11861500,1845500
214135,19138100,6646000,8692000,1053200
283207,25723500,8318200,10211900,1460000
844767,83258800,34051000,20411000,3769600
890246,84639200,21953700,21099700,4025200
949241,90053000,34647900,25320400,4355300
82959,6833600,4531500,6285900,414300
874992,84182500,21782500,20509300,3908600
532961,49872500,26011600,20435300,2439900
692441,65994300,21182900,16486200,3138700
867915,85018000,21198300,31197300,3986400
799855,78145700,19588600,19003300,3630800
718705,69696100,18581900,17723800,3326500
270590,36524300,7911000,9777200,1369400
158040,13889700,5586100,7682900,884900
3243,218200,2945800,5702600,100500
702718,67196800,17305200,19503900,3378200
733755,70025300,18306500,29664700,3342600
701903,67973400,17330400,17260300,3206500
968113,93326000,24430900,33665000,4544500
29720,2461700,4102600,5644500,225700
245369,21915600,6959400,9141900,1296400
109760,9559600,4426300,6681700,582000
411131,38089500,11020700,12916500,1950400
111968,9682900,4609100,6499900,543400
494260,45772400,12671600,13367500,2329800
352398,32093600,22620400,11790100,1659800
941126,89910300,22484900,22416800,4540200
491248,45293400,14388800,13650100,2350500
288220,26188700,15907700,15858900,1365400
851751,82518300,26424900,20187300,3877700
414849,37999600,11834200,12702400,2012300
477032,56505700,12268800,13115900,2309600
835867,81879600,20590600,22813400,3747100
290078,25859500,8304800,9800200,1581800
890337,97870700,22128000,20443400,3975400
991126,96160700,23697700,23100600,4433000
350070,31916500,15154600,16305200,1675300
974054,93130800,23452800,21948500,4574700
136145,12133800,4848600,7016500,736500
858049,96211400,21460000,20311400,3874100
784525,75520500,18898800,18154400,3623200
613293,58303900,27147400,16352500,2786100
649799,61508500,15840700,16828000,2835900
275666,25337400,7683200,13963300,1372600
999484,96607300,36203600,28346600,4697900
415890,38483800,11440900,11392400,1911700
31666,2489800,3060800,5637300,256500
970720,92973500,23615000,37311700,4427900
787428,75414800,22522800,19212700,3503800
926341,88362700,23430900,34569900,4109900
155215,13838300,5861500,7353300,770400
558039,52737100,14310800,14618700,2745900
31364,2430700,3353200,5610800,229000
521658,49367500,13204200,14151000,2459200
226651,20011400,7005900,20492800,1177200
539075,50468300,13248000,14635000,2564500
60736,5462000,3759200,5918800,341200
623754,58792300,15923300,15877600,2896800
696995,67880500,30504000,17796700,3243500
233535,20308700,7325700,8699500,1174800
231428,20284600,6915700,8597000,1102200
992614,95777700,26292700,21742200,4809000
924151,86742400,22291000,20976500,4167900
847284,82924500,20806100,31841000,3842000
924290,87631100,22792600,21535000,4440700
112312,9451700,5062600,7124400,565800
797501,77990000,20234700,31128000,3476200
894928,85121200,21699500,21442300,3978900
337239,30933800,10318400,11544100,1598700
815000,78976000,34975700,20676600,3885700
334561,31176100,10510700,14338300,1714400
721157,68631500,17928500,17656800,3263800
12428,923900,3086600,5544300,153200
973735,106781800,25652000,24604600,4393100
617322,58710700,15828600,16478000,2844100
305595,27464100,8762500,23046300,1499700
268919,24654300,8467500,9686300,1237100
46412,3762600,3598600,6632500,289200
594600,57119000,15175300,20660100,2873100
2196,143200,3879800,6124200,69100
872962,84328800,21634900,33400100,3862100
380873,34127500,10899600,11797300,1888400
169354,15056900,5754600,8383600,794500
554521,52569400,14836000,15283700,2589100
172739,15439500,6653200,8378100,806000
730617,69861400,31043800,18399300,3347800
183372,16301000,7337700,8419100,942600
61894,5539300,3837200,6923100,350100
614731,57693900,16407900,17068900,2721900
803624,76841100,31763200,20788300,3576400
840653,81079500,20865200,21546400,3903400
258158,23421600,8924400,10102900,1364300
420219,37913200,23719500,12303800,1995200
918287,86799300,24054200,26119300,4242600
781438,74834100,32547900,25701700,3641900
428940,38860200,11796200,13385300,2034900
428431,38372600,11440600,13000600,2075800
817962,78445400,32799700,19781100,3737600
725046,71292700,19191200,19157000,3380200
404968,36965500,11296200,12268000,1965300
272702,24802900,8329400,9829000,1251100
143160,25631900,5235200,7743800,662200
29795,2324500,3457400,6344200,243200
734883,70857000,17956900,18033800,3333700
651706,61596700,16533800,18416600,2862400
199438,17641900,7152200,21455800,984000
231644,20283800,7426700,9195700,1120000
66399,5779900,3785300,6602000,374000
408082,36821500,11257800,12500200,2018000
244313,21451200,7385700,9454700,1267600
203538,18207900,6443800,8750800,1016500
15949,1218600,3352600,5664200,213400
918583,86152900,34893000,20836700,4236400
446446,40510100,11786400,12470300,2035000
40676,3486100,3636400,6425600,276500
785172,76372700,20355200,33235100,3443600
229404,19867800,7669200,9261600,1124400
16719,1281300,3288500,6332200,165500
99665,8515500,11723200,8938200,497900
248219,22040200,8032100,9531500,1316800
288246,25889100,16279300,9766200,1404100
648381,62333000,16517100,25367600,3134100
716487,81336300,17995100,17932800,3055100
636531,60553000,16284100,16253800,2850200
197475,17441800,7349700,8315200,1036500
122229,10741100,4577800,6785900,567200
494619,57957300,12426200,13768200,2351500
263460,24143700,12552700,9488300,1253800
880551,84253100,21921400,21603100,4207800
320456,28836200,23313900,10501200,1556000
798290,77515800,20138400,18852500,3579100
551187,52723000,14496200,14653500,2659900
941777,101474900,23462100,22434100,4425300
242394,21528300,7444300,9374300,1181700
520092,48234000,12957000,14464900,2525100
222668,19807000,19478800,8598300,1089700
794748,75695500,19886000,18570000,3681300
5559,379200,3617800,5685600,102200
318368,28555800,9183700,10399600,1572200
805170,76931300,31463100,19509200,3831700
192817,17194100,6725600,8089400,956000
885645,84058200,21201600,20831300,4046100
63154,5218000,4638500,6397700,365900
761408,74995900,32079200,18640000,3537100
752170,72124300,18608500,17499900,3525500
657034,63149000,29822200,17849500,3058500
229730,20037600,8055900,9001000,1160000
5371,370000,2729200,5508100,106100
534450,49445000,14096700,14444100,2535600
801107,76502600,20148700,32029200,3583300
82286,6744900,4503700,6644800,445200
912054,85671500,22019300,21305400,4140300
974504,93297800,37117500,23442100,4538400
665309,63925500,16997700,17397000,3121100
317271,28977700,9324400,10407500,1575200
72257,6236200,3861200,6385500,366400
510497,47554300,25326700,14391900,2472800
464172,44887000,14876800,12659100,2140200
196689,17552400,6805600,12520900,988100
642863,61802300,17775400,16233200,3073200
80301,6605200,4351200,6882800,425100
111654,9595100,18134800,6722500,567600
981971,95128600,29320200,30151400,4469500
47619,4102300,4781500,6124300,317800
469554,43293800,16163300,21864800,2201000
512275,60713200,13180500,13938800,2397700
811407,78960100,20817000,20271800,3764900
446327,40364800,12423600,12915500,2081400
819701,80212300,20444900,22643500,3733200
449908,41330800,12286600,13172400,2264000
466620,42627700,11963700,25786000,2155000
231336,20137100,7960100,9231400,1251800
197624,17775000,5942200,8238400,1021500
734652,71471600,18357500,18457500,3247100
979022,94030700,36321300,23147500,4315700
530529,50042900,13688400,14409300,2332400
462077,42462500,12125800,13082900,2160300
978863,106681500,23940100,22166000,4597900
510279,47851100,13265100,14009700,2371400
406082,36419600,11230100,25306600,1963300
765288,74612600,20856800,18427200,3531500
943894,89978800,22998800,45599300,4353600
870631,84828200,21497600,20703000,3977600
550604,51574000,14046700,15870200,2551400
753218,86277200,18204200,17643500,3381700
108764,9319300,5054200,6712200,526400
109759,9248200,4292400,6736800,543800
997260,96376600,25386900,36463200,4465200
295514,26543800,9772500,10055300,1562700
492425,45516400,12508100,14975400,2353500
858980,83041600,20438300,41671300,3784400
612514,58183500,15368900,15590900,2820700
920518,86726700,22617200,21837200,4142500
519256,62836400,13620600,13898200,2409800
473854,43951000,12692300,13371400,2287400
486382,45560500,12411600,13359100,2358100
113031,9551800,4512100,7585700,547800
68214,5952700,3605600,6397200,341600
903168,98487100,22119300,21464000,4090100
397078,35288100,11727800,11580600,1913100
593098,56213800,14696000,35691900,3135000
192154,17264300,6132400,8745600,1116000
164914,14816700,6814700,8206700,808000
863989,84608000,21608300,20629300,3900000
229899,20007800,6696800,9354100,1123200
927996,103662000,23934400,23529000,6047100
730089,70877900,18490300,17457000,3370600
394147,35943500,25427500,12050600,2314700
378069,34014000,11740400,13571400,1777900
484915,45137600,14360600,14360100,2196600
858201,84216600,35607500,28706400,3935800
889501,84758200,22370700,20553000,4134600
97892,8265300,4260600,6794400,481200
627566,60203200,28439400,16771700,2847500
179329,15942600,6341900,8283600,932000
150289,13248600,5105700,8158700,687000
985899,94571400,24339300,23384600,4310900
810510,91514100,19545500,19640000,3736300
785476,76197900,19203400,18588100,3605600
576521,57586500,31315000,15675000,2557600
397104,35377700,11014300,12237800,1933400
398111,35881200,11031500,11876200,1948100
840088,80953200,20608100,33683300,3923800
183729,16513100,6784000,7984800,947800
187669,16589900,10817500,8170800,972500
204594,18192200,6338500,8509000,981200
877207,86127600,21541600,20866800,4315500
552134,51986700,14818900,16256800,2728900
245619,21852800,7940200,9530300,1193300
470936,43326000,12144800,13148100,2237700
492339,45049500,17782200,33401600,2292800
473694,43955600,12569000,14308000,2285600
958687,91267900,23036700,22268400,4421300
72573,5973000,4905000,6969800,380700
118663,10141200,17189500,7586200,570300
551182,52200400,14400900,15422600,2657100
71886,5963600,3953300,6368900,389200
59934,5055000,3575200,6201600,360000
843976,81252300,20806300,20568000,3974400
19067,1436700,3449000,6516800,185700
257557,23399600,21221000,10036300,1326300
173416,15836000,6235100,7819100,791300
506522,46814700,13673200,21517800,2454100
144896,12723400,5231400,7592100,717400
653256,61585700,17287600,22325900,3004400
404143,37248200,11451300,12028200,1938800
199231,17675400,7526800,8473000,986800
397945,36139800,10986000,16992100,1933000
437444,40105300,12939500,12696000,2169400
69703,6150500,3814800,6435800,340900
645802,74157900,16386900,16285100,2894200
755690,72492200,20108000,21849800,3346100
149897,13321500,6042800,7426600,761100
859523,84078800,33340900,22130400,4066700
94066,7712700,4407700,7071300,451200
416272,38332300,11197300,16106300,2021700
889471,84715100,35683000,21229700,4018000
282888,26069200,8941100,10003800,1492100
639266,60333800,16352600,17454600,2803600
874945,84332600,35072800,21595000,4061900
602905,57860600,15212300,23762800,2841200
784972,75265800,19741600,33955300,3705300
288557,25691300,12097800,13735200,1357200
207810,18525300,6962000,9095400,1014400
861847,83347700,21564100,26168200,3961800
39601,3157600,5212300,9421400,277800
687358,65663000,30660200,18604000,3175200
575973,54526400,14711500,15895900,2621300
821221,80207000,21572800,33184600,3876200
577592,54609300,15007000,20409000,2712800
673518,64606400,17940500,17203000,3256100
291357,26236500,8854500,9686200,1445800
157345,14429500,18508200,8024500,855700
697955,66796800,19765800,17851800,3137900
973839,96226100,23991800,35018900,4385300
939424,89442800,23341600,21481200,4235300
461562,42095500,12427200,13245800,2239300
729708,70916600,32500600,22903300,3261900
547685,52082600,14234400,14355500,2565100
228343,19771200,8142700,9584300,1154500
67764,5962400,4694900,6726500,364500
442459,39863100,13148100,27857600,2083100
944949,90865600,23149000,22967900,4271600
668261,64657200,17163000,17625500,3097800
815304,78703300,20354600,20245800,3658100
100168,8832100,5032800,7760400,479700
296053,26383100,8468100,10980500,1469300
243378,21404500,7477800,9898000,1151900
204327,18271800,6775900,9445800,1033800
4013,268200,3148800,5772200,102600
654114,62888000,16669200,16373700,3029700
132563,11647300,5174100,7692500,639500
884319,84392300,21502600,22560000,3925200
446375,41136600,11623300,12853900,2146700
2289,147700,3150400,5779000,69500
974455,94461200,31593200,22971600,4271700
792919,76477200,31975400,19201400,3628700
396937,35498500,11002800,12138300,1763000
954333,91637000,23419600,35041600,4470400
705520,68442000,17858000,17965800,3202400
22836,1948600,3806400,6359000,219800
679069,65894200,19158200,17005500,2990800
327071,28956700,23297400,11002900,1602100
905916,85973900,22583500,22048300,4228700
961630,91748900,37008500,22832400,4390500
176184,16291800,7489800,8535000,875400
324284,29212900,13902400,10826700,1643800
627376,60203500,21462400,16327800,2843600
587741,55933600,28669200,15983000,2704400
858937,83458400,21877100,20176300,4105800
860856,84643200,33763200,20792700,3830200
646080,62577600,16556300,16568800,3032600
849693,82407100,20821400,34125800,3856600
9310,677700,3740300,6221400,131200
285480,25933400,8054000,10902000,1324600
52909,4680400,3635100,6455500,339100
942160,90118200,22457300,23810600,4401200
902338,86302400,34803600,21853100,4107900
398245,35575700,11287900,12041500,1884400
101259,8764900,4754500,6849800,492100
441586,40297700,11690200,13127500,2129200
284663,39535900,8012400,20298900,1351500
582492,55556400,15905600,16198200,2665800
594862,56219800,15356200,15950900,2652800
968872,93208900,37597700,22344700,4368300
99708,8388200,4223000,7097900,498900
976771,93122800,24030100,21985600,4452100
102577,22281300,4481400,7095100,526900
931522,88581900,23368800,21592800,4177900
432155,39569800,12556000,12804100,2134100
981606,109838800,24156200,23496600,4322500
957730,93955700,24273200,24097300,4299500
464864,43000200,13062700,13941800,2206400
70690,6421600,4309500,7737700,367900
128991,11342000,5295100,8205000,659900
827661,80577400,21081100,21218900,3878500
530096,50147100,27081000,15124400,2475100
8251,585900,3202300,6333100,150000
917220,85964700,23206600,23767300,4099100
488867,45390200,13493500,28307200,2306200
389205,34885000,11150500,12013900,1898800
63466,5503300,4081100,6896300,335700
351675,31752500,9889900,16463600,1714500
530951,49518500,16017400,14575500,2446000
322339,29116800,23606700,10892300,1626200
58595,4872000,3733200,6474800,359200
553480,52209300,14477000,14957300,2467200
546742,51185900,15339400,16316200,2586800
386183,34629300,11378800,12785700,1769400
252614,36970700,8136500,10228400,1305900
364935,32683300,10368600,13007100,1809000
235728,20662600,7316700,9744800,1242900
460100,42378300,12718300,13780000,2095700
121144,10512500,5225600,7114100,604900
401428,36106000,30298100,12702200,1859800
434055,39335200,12488000,12802100,2077400
101272,9171300,4767300,7176100,576300
87647,7613400,6448800,7475200,462600
689191,67404300,18620800,18600700,3185800
970787,107069100,25602100,23223400,4346100
962621,91883900,25378100,36957200,4342500
750393,71814100,19250700,18803800,3284100
311774,27890600,17670400,16062900,1531200
343663,31662100,9206400,11127800,1667800
635083,60144900,41310100,16653600,2890700
710746,70779000,18411700,18133900,3397700
704947,67556400,18353500,31142300,3181600
169924,15163700,6241900,8416500,864500
116730,10033200,4885800,6986800,554100
224768,19878300,6799800,8861600,1172000
290381,25812400,8541300,10199100,1417700
737903,70729400,19517300,24334500,3384100
484037,44676800,12916700,13707000,2213800
693908,66395200,19238900,18209500,3178400
624306,58737200,16599100,30105500,2886500
652290,61462500,17327600,17830700,3174300
72619,6589000,4712900,9375300,394300
862208,83165300,22342200,21528000,3965700
357209,32066500,10764400,11649200,1705400
988724,94996000,24880700,23635700,4487400
351440,31929700,10488100,25135800,1694200
910183,87279500,23415800,24313100,4272000
239773,21138100,8375300,9601100,1152400
74933,6429000,4175400,6987000,375400
810176,77553500,34264500,20092500,3740200
402630,37893800,17300300,13828300,1879200
670798,64335300,17431600,17728400,3137500
673299,64063100,30973000,17810500,3061300
528595,49674100,14102100,14249600,2498900
713637,68401300,18921300,18257900,3238900
666722,77893900,16938800,16669100,3162000
699330,68265700,19059400,18600400,3205400
273451,24568600,8712700,10077800,1270900
153081,13392800,5354600,7860500,663000
877001,84565600,23612400,21656000,3981800
196683,17453200,6614200,8650600,952100
423130,38086400,11432100,12986400,1976800
928729,102005600,23252500,21812100,4108700
695518,66881800,17829700,17596300,3348100
526228,48742900,27515700,15577000,2388100
859681,84163300,21407100,21573300,4008200
360859,32268400,10392000,15586600,1656200
114489,9771300,15852900,10773600,575000
425288,52456100,11500500,12682800,2136300
269587,28295900,10854000,10016900,1320600
729227,70571600,18862700,18858000,3268500
774369,73939100,33150900,18848700,3631100
183138,16222700,7415800,8534200,858400
50329,4218100,3575100,6397000,290200
703751,67454700,19262500,18828400,3223900
521759,48508800,28144900,14109500,2512800
115355,9674300,4899300,7304100,581300
57934,4602600,3547600,6334600,334100
737914,70665800,22174100,26800700,3490200
744941,72374400,18890500,33330500,3410300
50286,4152000,8220200,6637500,331200
235722,20626500,7454300,10219300,1152000
637747,61647400,17549900,18317700,2956300
578766,55336200,15702800,15679200,2786700
639429,75027100,17056600,17381500,2886900
787196,75769500,20950200,22443100,3496700
706209,68667500,32840800,18388000,3259400
820855,80864900,21019100,20086300,3814600
631042,60612600,16998600,31369500,3033800
756785,73133800,19811300,19412300,3468200
574573,53958300,15399300,16023700,2536300
834923,82427400,35181800,20697800,3915400
91819,7515300,5385000,7089600,456900
614065,58100100,15842500,16868000,2882600
47412,3966500,4298600,6522100,274800
643684,60829000,30735600,17947800,2964200
719282,70571700,18167800,21970300,3422500
992776,96575100,31788600,46001500,4579200
310688,27671800,9671200,10906400,1572900
314029,28093500,9280300,10645500,1599700
912800,86132900,23979600,36329500,4154200
86114,7522500,4283000,6881900,424700
