Number of Elements,Standard Merge Sort Time (in ns),Parallel Merge Sort Time (in ns),Partially Parallel Merge Sort Time (in ns),Java Parallel Merge Sort Time (in ns)
493207,45413200,14210400,9915600,2472400
163544,14377000,4207500,3712500,897900
406743,37454400,11839900,7996200,2014100
225459,19832700,5834500,5009800,1206500
495213,46097900,12188900,11719800,2407100
423919,37861400,10428000,8234400,2200000
935879,91045800,23248100,17848800,4496400
470805,45353900,11352900,9473800,2301000
183996,16320300,4830500,4271100,975500
44290,3704800,1771400,1735400,292000
503318,47149900,14526900,9559500,2368500
215114,19308400,5489200,4822600,1076700
392093,35220100,11448700,7658800,1854300
708569,68739400,17720300,15135100,3296000
344116,31995700,8541300,6908900,1712100
692671,67969900,18403300,13332400,3350100
756166,73251600,22204500,14326600,3577000
248873,22370000,6090600,5272600,1180400
780291,75125800,20771100,15030200,3686200
133940,11867100,3839500,3422700,750800
981500,96315000,22711500,18153100,4603700
679185,66737300,16883800,13163300,3178000
243863,21750500,7728800,5262200,1277400
732640,70886800,17380600,13917800,3577400
165925,14766600,4269200,3707000,913600
757840,72366500,17461200,15980400,3621900
119580,10368900,3303000,2876000,587800
920226,86594700,23109700,17109200,4462900
99324,8512600,2959900,2478500,509900
153800,13622500,3939300,3596900,823500
469911,43428300,13139400,9562300,2310300
635550,60896300,14883900,13835300,3154900
935709,88385000,21351300,19736500,4489400
793127,76042100,18669600,16470700,3815900
584773,56168700,13991700,11631000,2795500
376636,33354400,9088600,7484800,1960200
764672,73658900,18469700,14305100,3587800
713784,68391300,17917200,13986000,3297200
733663,70906100,16814000,15404200,3558600
344633,31308000,8330600,7341000,1772500
845634,81461300,21990700,16614400,3963200
478213,43561000,13561100,9683400,2313300
734335,70531500,17142800,15651400,3494600
104872,9068900,2956600,2655700,558300
703327,67856100,16693700,15005200,3362900
988134,96731500,25134000,19347500,4708600
77469,6556300,2595800,2286100,440900
405769,37012700,10068900,8236000,1925400
410557,37023400,9638000,8558600,2005700
216875,19463600,5483100,4789800,1106400
168434,14840600,4463700,5677800,915000
340100,31198900,8415800,7043100,1728400
382689,34054000,9796000,7518100,1861600
12065,887400,1116700,1302800,150700
410813,36938000,9489400,8255200,2181400
297475,26585100,7392100,6364500,1597600
819588,80535900,18887700,16006100,4019400
354565,34122000,8582600,7202800,24572200
305763,27509100,7577300,6140300,1489300
341481,31128200,10044200,7878100,1721000
637120,60059400,15616300,12553000,3071800
33155,2593400,1589200,1715600,238300
766385,72976500,17686300,14398600,3696100
